"variable_code","item_id","generation","extract_source_id","survey_source","survey_year","loop_index","notes","item","extract_source","column_name_wide"
"C0000100",1,2,1,2,0,0,NA,"subject_id","head_start","subject_id"
"C0000200",3,2,1,2,0,0,NA,"mother_id","head_start","mother_id"
"C0005300",4,2,1,2,0,0,NA,"race","head_start","race"
"C0005400",5,2,1,2,0,0,NA,"gender","head_start","gender"
"C0592000",10,2,1,2,1988,0,NA,"headstart_ever","head_start","headstart_ever_y_1988"
"C0811400",10,2,1,2,1990,0,NA,"headstart_ever","head_start","headstart_ever_y_1990"
"C1001400",10,2,1,2,1992,0,NA,"headstart_ever","head_start","headstart_ever_y_1992"
"C1205000",10,2,1,2,1994,0,NA,"headstart_ever","head_start","headstart_ever_y_1994"
"C1525000",10,2,1,2,1996,0,NA,"headstart_ever","head_start","headstart_ever_y_1996"
"C1771400",10,2,1,2,1998,0,NA,"headstart_ever","head_start","headstart_ever_y_1998"
"C2244700",10,2,1,2,2000,0,NA,"headstart_ever","head_start","headstart_ever_y_2000"
"C2688300",10,2,1,2,2002,0,NA,"headstart_ever","head_start","headstart_ever_y_2002"
"C2969600",10,2,1,2,2004,0,NA,"headstart_ever","head_start","headstart_ever_y_2004"
"C3549600",10,2,1,2,2006,0,NA,"headstart_ever","head_start","headstart_ever_y_2006"
"C3894000",10,2,1,2,2008,0,NA,"headstart_ever","head_start","headstart_ever_y_2008"
"C5143000",10,2,1,2,2010,0,NA,"headstart_ever","head_start","headstart_ever_y_2010"
"C5720300",10,2,1,2,2012,0,NA,"headstart_ever","head_start","headstart_ever_y_2012"
