variable_code,item_id,generation,extract_source_id,survey_source,survey_year,loop_index,translate,notes
R0000100,1,1,1,1,0,0,1,
C0000100,1,2,1,2,0,0,1,
R0000149,2,1,1,1,1979,0,1,
C0000200,3,2,1,2,0,0,1,
R0214800,5,1,1,1,1979,0,1,
C0005300,4,2,1,2,0,0,1,
C0005400,5,2,1,2,0,0,1,
C0592000,10,2,1,2,1988,0,1,
C0811400,10,2,1,2,1990,0,1,
C1001400,10,2,1,2,1992,0,1,
C1205000,10,2,1,2,1994,0,1,
C1525000,10,2,1,2,1996,0,1,
C1771400,10,2,1,2,1998,0,1,
C2244700,10,2,1,2,2000,0,1,
C2688300,10,2,1,2,2002,0,1,
C2969600,10,2,1,2,2004,0,1,
C3549600,10,2,1,2,2006,0,1,
C3894000,10,2,1,2,2008,0,1,
C5143000,10,2,1,2,2010,0,1,
C5720300,10,2,1,2,2012,0,1,
